email_followup	mail_no_next_lesson_title	Vous n'avez aucun cours programmé	You have no scheduled lessons	Sie haben keinen Kurs gebucht.	No tiene clases programadas	
email_followup	mail_no_next_lesson_subtitle		$$get_lesson.trainer_firstname$$ filled your lesson note - Lesson done on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$.	$$get_lesson.trainer_firstname$$ hat Ihre Lesson Note ausgefüllt. Lesson Note erstellt am $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$.	$$get_lesson.trainer_firstname$$ Notas de Clase completadas - Clase completada el $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$.	
email_followup	mail_no_next_lesson_footer		Click on the link below to access your lesson note.	Bitte folgen Sie nachstehendem Link um zu Ihren Lesson Notes zu gelangen.	Haga click en el enlace para acceder a las Notas de Clase	
email_followup	mail_bad_learner_title	Vous êtes toujours avec nous ? ;)	Your session has timed out. Do you wish to continue?	Ihre Sitzung ist abgelaufen. Möchten Sie fortfahren?	¿Sigue con nosotros? :)	
email_followup	mail_bad_learner_subtitle		Lesson initially scheduled on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ is now cancelled.	Der am $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ gebuchte Kurs ist jetzt storniert.	La clase programada para el $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ ha sido cancelada.	
email_followup	mail_bad_learner_footer					
email_lesson_status	mail_reminder_title	Rappel automatique	Reminder	Erinnerung	Aviso automático	
email_lesson_status	mail_reminder_subtitle	Vous avez cours le $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ à $$timeformat(get_lesson.lesson_start,'HH:mm')$$	You have a lesson on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$	Sie haben einen neuen Kurs gebucht am $$dateformat(get_lesson.lesson_start,'dd.mm.yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ Uhr.	Tiene una clase programada el $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ a las $$timeformat(get_lesson.lesson_start,'HH:mm')$$	
email_lesson_status	mail_missed_title	Cours manqué	Missed lesson	Kurs verpasst	Clase perdida	
email_lesson_status	mail_missed_subtitle	Cours prévu le $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ à $$timeformat(get_lesson.lesson_start,'HH:mm')$$	Lesson initially scheduled on $$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$	Der gebuchte Kurs am $$dateformat(get_lesson.lesson_start,'dd.mm.yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ Uhr wurde verpasst	Clase programada para el $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ a las $$timeformat(get_lesson.lesson_start,'HH:mm')$$	
email_lesson_status	mail_confirm_title	Confirmation de réservation	Lesson booked	Kurs gebucht	Reserva confirmada	
email_lesson_status	mail_confirm_subtitle	Le $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ à $$timeformat(get_lesson.lesson_start,'HH:mm')$$	$$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$	am $$dateformat(get_lesson.lesson_start,'dd.mm.yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ Uhr	El $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ a las $$timeformat(get_lesson.lesson_start,'HH:mm')$$	
email_lesson_status	mail_na_title	Réservation 1er cours	1st lesson booked	1. Kurs gebucht	Primera clase reservada	
email_lesson_status	mail_na_subtitle	Le $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ à $$timeformat(get_lesson.lesson_start,'HH:mm')$$	$$dateformat(get_lesson.lesson_start,'dd mmm yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$	$$dateformat(get_lesson.lesson_start,'dd.mm.yyyy')$$ - $$timeformat(get_lesson.lesson_start,'HH:mm')$$ Uhr	El $$dateformat(get_lesson.lesson_start,'dd/mm/yyyy')$$ a las $$timeformat(get_lesson.lesson_start,'HH:mm')$$	
email_lesson_status	mail_na_done_title	Votre premier cours a eu lieu avec $$get_lesson.trainer_firstname$$	You had your first lesson with $$get_lesson.trainer_firstname$$	Sie hatten Ihren ersten Kurs mit $$get_lesson.trainer_firstname$$	Ha realizado su primera clase con $$get_lesson.trainer_firstname$$	
email_lesson_status	mail_na_done_subtitle	Nous espérons que celui-ci a répondu à vos attentes. Votre programme de formation est disponible, vous pouvez maintenant vous connecter sur votre plateforme et réserver vos prochains cours.	We hope you enjoyed it. Your training program is available and from now on, you can book your lessons on your own.	Wir hoffen, Ihre Erwartungen wurden erfüllt. Ihr Trainingsprogramm ist jetzt verfügbar, Sie können Ihre nächsten Kurse buchen.	Esperamos haber cumplido con sus expectativas. Su programa de formación está disponible. Ya puede iniciar sesión en su plataforma y reservar sus próximas clases.	
email_lesson_status	mail_pta_done_title	Vous avez eu votre dernier cours avec $$get_lesson.trainer_firstname$$	You had your Post Training Assessment with $$get_lesson.trainer_firstname$$	Sie haben Ihr Post Training Assessment mit $$get_lesson.trainer_firstname$$ absolviert.	Ha realizado su última clase con $$get_lesson.trainer_firstname$$	
email_lesson_status	mail_pta_done_subtitle	Merci d'avoir choisi WEFIT ! Nous espérons que vous avez atteint vos objectifs et passé un bon moment avec notre équipe !	Thank you for choosing WEFIT and for all your hard work. We hope that you enjoyed your training with us!	Vielen Dank, dass Sie sich für WEFIT entschieden haben. Wir hoffen, dass Ihnen Ihr Taining mit uns gefallen hat.	Gracias por haber elegido WEFIT. Esperamos que haya alcanzado sus objetivos y que haya disfrutado con nuestro equipo.	
email_lesson_status	mail_pta_done_footer	Cliquez sur le lien ci-dessous pour accéder à votre rapport de formation.	Click on the link below to access your lesson note.	Bitte loggen Sie sich ein, um Ihre Lesson Notes einzusehen.	Haga click en el siguiente enlace para acceder a su informe de formación.	
email_lesson_status	mail_pta_booked_title	Votre dernier cours avec $$get_lesson.trainer_firstname$$	Post Training Assessment booked with $$get_lesson.trainer_firstname$$	Post Training Assessment mit $$get_lesson.trainer_firstname$$ gebucht	Su última clase con $$get_lesson.trainer_firstname$$	
