ID	TITLE EN	TITLE DE	TITLE FR	TITLE ES	DESCRIPTION EN	DESCRIPTION DE	DESCRIPTION FR	DESCRIPTION ES																		
	LEVEL A - ENGLISH FOR BUSINESS																									
29	Commuting	Pendeln		Viajar al trabajo	In this lesson you will learn key prepositions and useful adjectives for talking about commuting to work. There is also a vocabulary exercise on car parts. The worksheet covers the present simple with adverbs of frequency and comparative forms of adjectives.	In dieser Lektion lernen Sie Schlüsselpräpositionen und nützliche Adjektive, um über das Pendeln zur Arbeit zu sprechen. Es gibt auch eine Wortschatzübung über Autoteile. Das Arbeitsblatt deckt das present simple mit Häufigkeitsadverbien und der Komparativform von Adjektiven ab. 		En esta lección, aprenderá las preposiciones clave y los adjetivos más útiles para hablar sobre el viaje diario al trabajo. También hay un ejercicio de vocabulario sobre piezas de automóvil. La hoja de trabajo cubre el presente simple con adverbios de frecuencia y formas comparativas de adjetivos.																		SUPPORT DE COURS
30	Companies and places	Unternehmen und Orte		Empresas y lugares	In this lesson you will study the superlative form of adjectives by reading short profiles of several renowned companies. 	In dieser Lektion werden Sie die Superlativform der Adjektive lernen, indem Sie kurze Profile einiger berühmter Firmen lesen. 		En esta lección, estudiarás la forma superlativa de los adjetivos leyendo breves perfiles de varias empresas importantes.																		SUPPORT DE COURS
22	Business trips	Geschäftsreisen		Viajes de negocio	In this lesson you will study the present perfect form of the verb 'be'. It also contains  grammar for 'going to' + infinitive.	In dieser Lektion werden Sie die present perfect form des Verbs 'be' lernen. Die Lektion enthält auch Grammatik für die Struktur 'going to' + Infinitiv. 		En esta lección, estudiará la forma presente perfecta del verbo "to be". También contiene ejercicios de gramática con 'going to' + infinitivo.																		SUPPORT DE COURS
50	Entertaining business clients	Unterhaltung von  Geschäftskunden		Entretener a clientes comerciales	In this dialogue-based worksheet, you will learn vocabulary connected with entertaining business clients. Activities cover choosing places to take clients, the dos and don'ts of hosting clients and useful restaurant language. The worksheet ends with a conversation between two colleagues discussing where to take their clients.	In diesem dialoggestütztem Arbeitsblatt werden Sie Vokabeln darüber lernen, wie man geschäftliche Kunden unterhalten kann. Die Aufgaben decken die Auswahl von Orten für das Treffen mit Kunden, was man bei der Bewirtung von Kunden tun sollte und was man nicht tun sollte sowie nützliche Ausdrücke für das Restaurant ab. Das Arbeitsblatt endet mit einer Unterhaltung zwischen zwei Kollegen, die darüber sprechen, wohin sie mit ihren Kunden zum Essen gehen sollen. 		En esta hoja de trabajo basada en diálogos, aprenderá vocabulario relacionado con agasajar a clientes comerciales. Las actividades abarcan la elección de lugares para llevar a los clientes, lo que se debe y no se debe hacer al recibir clientes y vocabulario utilizado en un restaurante. La hoja de trabajo termina con una conversación entre dos colegas que discuten dónde llevar a sus clientes.																		SUPPORT DE COURS
40	Countries and nationalities (business version)	Länder und Nationalitäten		Países y nacionalidades (versión de negocios)	You will learn and put into practice the names of important countries, nations and nationalities. You will use target language to talk about the origins of some world famous brands. The lesson assumes a basic knowledge of the verb 'be'.	Sie werden die Bezeichnungen für wichtige Länder, Nationen und Nationalitäten lernen und anwenden. Sie werden die Zielsprache benutzen, um über die Ursprünge einiger weltberühmter Marken zu sprechen. Die Lektion setzt ein Grundverständnis des Verbs 'be' voraus. 		Aprenderá y pondrá en práctica los nombres de países, naciones y nacionalidades importantes. Utilizará el idioma de destino para hablar sobre los orígenes de algunas marcas de fama mundial. Se requiere un conocimiento básico del verbo 'to be'.																		SUPPORT DE COURS
152	Work relationships	Arbeitsbeziehungen		Relaciones de trabajo	In this lesson you will learn basic vocabulary for describing the relationships between the members of a company's staff.	In dieser Lektion werden Sie Grundwortschatz lernen, um die Beziehungen zwischen den Mitarbeitern einer Firma zu beschreiben. 		En esta lección, aprenderá vocabulario básico para describir las relaciones entre los miembros del personal de una empresa.																		SUPPORT DE COURS
150	Work and play	Arbeit und Freizeit		Trabajo y ocio	In this lesson you will learn vocabulary for typical work tasks and leisure time activities. The worksheet presents adverbs of frequency (never, rarely, sometimes, often, etc.) as well as once/twice/three times a week/month/year. There are lots of How often ...? questions.	In dieser Lektion werden Sie Wortschatz für typische Arbeitsaufgaben und Freizeitaktivitäten lernen. Das Arbeitsblatt stellt verschiedene Häufigkeitsadverbien (never, rarely, sometimes, often, etc.) vor sowie once/twice/three times a week/month/year. Es gibt viele 'How often ...?' Fragen.		En esta lección, aprenderá vocabulario para tareas laborales típicas y actividades de tiempo libre. La hoja de trabajo presenta adverbios de frecuencia (never, rarely, sometimes, often, etc) así como "once/twice/three times a week/month/year". Hay muchas preguntas con la estructura "How often...? (¿Con qué frecuencia...?)".																		SUPPORT DE COURS
43	Describing people at work	Menschen bei der Arbeit  beschreiben		Describir pesonas del trabajo	In this lesson you will learn basic adjectives for describing people's character traits at work. 	In dieser Lektion werden Sie grundlegenden Wortschatz lernen, um über die Eigenschaften von Menschen bei der Arbeit zu sprechen. 		En esta lección, aprenderá los adjetivos básicos para describir el carácter de las personas en el trabajo.																		SUPPORT DE COURS
32	Company history	Unternehmensgeschichte		La historia de la empresa	In this lesson you will learn how to talk about the history of a company using the past simple.	In dieser Lektion werden Sie lernen, über die Geschichte einer Firma zu sprechen, indem Sie das past simple benutzen. 		En esta lección aprenderá a hablar sobre la historia de una empresa utilizando el pasado simple.																		SUPPORT DE COURS
