ID	TITLE EN	TITLE DE	TITLE FR	TITLE ES	DESCRIPTION EN	DESCRIPTION DE	DESCRIPTION FR	DESCRIPTION ES	MAPPING !!!!!!
	LEVEL A - GRAMMAR POINTS								
641	Past simple				In this lesson you will learn the <b>past simple</b> forms of common <b>irregular verbs</b> and talk about what they did at the weekend.	In dieser Stunde werden Sie die <b>past simple</b> Form von häufig verwendeten  <b>unregelmäßigen Verben</b> lernen und darüber reden was Sie am Wochenende unternommen haben.			
642	Basic phrasal verbs				In this video-aided lesson you will learn 14 common phrasal verbs and put them into practice. The worksheet also teaches the grammar of separable transitive phrasal verbs.	In dieser videogestützten Stunde werden Sie 14 gebräuchliche Phrasalverben lernen und sie in die Praxis  umsetzen. Das Arbeitsblatt lehrt auch die Grammatik der trennbaren transitiven Phrasalverben.			
658	I have been to ...				This lesson covers the <b>present perfect</b> of the verb be.	Die Stunde behandelt das <b>present perfect</b> des Verbs "be".			
659	I like it!				In this lesson you will learn the structure <b>like</b>, <b>don't like</b>, <b>hate</b>, <b>love</b> + <b>-ing</b>. Listen to a short conversation about likes and dislikes. There is also an online video-aided exercise in which you can watch a series of video clips and make sentences using the target language.	In dieser Stunde werden Sie die Struktur von<b>like</b>, <b>don't like</b> , <b>hate</b>,  <b>love</b> + <b>ing</b> lernen.  Hören Sie einem kurzen Gespräch über Vorlieben und Abneigungen zu.  Es gibt auch eine videogestützte Onlineübung, bei der Sie eine Reihe von Videoclips ansehen und Sätze  in der Zielsprache bilden.			
662	Is this yours?				In this lesson you will learn how to use possessive pronouns. To help you practise the target language there are speaking and text-based activities, plus a picture activity on everyday objects that people own. You will also learn the difference between possessive pronouns and possessive adjectives. 	In dieser Stunde werden Sie lernen, wie man Possessivpronomen verwendet. Um die Zielsprache zu üben,  gibt es Sprech- und Textaktivitäten sowie eine Bildaktivität zu Alltagsgegenständen, die Menschen besitzen.  Sie werden auch den Unterschied zwischen Possessivpronomen und Possessivadjektiven kennenlernen. 			
664	Like/look like/be like				In this lesson you will practise how to ask and answer questions with ‘like’, ‘look like’ and ‘be like’, and learn the difference between them. You will also learn words to describe personality, and revise words to describe people’s appearance.	In dieser Stunde werden Sie üben, wie Sie Fragen mit "like", "look like" und "be like" stellen und beantworten  können, sowie den Unterschied zwischen diesen Wörtern.  Sie werden auch Wörter zur Beschreibung der  Persönlichkeit  lernen und Wörter zur Beschreibung des Aussehens von Menschen wiederholen. 			
665	Location				This lesson filler presents common prepositions of location (<b>in</b>, <b>on</b>, <b>next to</b>, <b>in front of</b>, <b>behind</b>, <b>between</b>, <b>above</b> and <b>under</b>). 	In dieser kurzen Lektion werden gängie Präpositionen des Standorts (<b>in</b>, <b>on</b>, <b>next to</b>,  <b>in front of</b>, <b>behind</b>, <b>between</b>, <b>above</b> und <b>under</b>) vorgestellt.			
687	Location (business version)				This lesson presents common prepositions of location (in, on, next to, in front of, behind, between, above and under).	In dieser Stunde werden gängige Präpositionen des Standorts (in, on, next to, in front of, behind, between,  above und under) vorgestellt.			
668	Next week				You will learn the structure <b>going to + infinitive</b> for talking about the future. The lesson plan includes a listening activity.	In dieser Stunde werden Sie die Bildung von <b>going to + infinitive</b> lernen um über die Zukunft zu sprechen.  Der Unterrichtsplan enthält eine Hörübung.			
669	Possessive adjectives				In this lesson you will learn the possessive adjectives <b>my</b>, <b>your</b>, <b>his</b>, <b>her</b> <b>its</b>, <b>our</b>, <b>your</b>, and <b>their</b>. 	In dieser Stunde werden Sie die besitzanzeigenden Adjektive <b>my</b>, <b>your</b>, <b>his</b>, <b>her</b>,  <b>its</b>, <b>our</b>, <b>your</b> und <b>their</b> lernen.			
672	Question words				In this lesson you will practise asking questions with the words <b>who</b>, <b>why</b>, <b>where</b>, <b>when</b>, <b>whose</b>, etc. The worksheet assumes a basic knowledge of the present simple, present continuous and past simple.	In dieser Stunde werden Sie üben mit den Wörtern <b>who</b>, <b>why</b>, <b>where</b>, <b>when</b>,  <b>whose</b>, etc. Fragen zu stellen. Das Arbeitsblatt setzt Grundkenntnisse des "present simple",  "present continuous" und "past simple" voraus.			
676	Signs				In this lesson you will identify signs and practise using the <b>modal verbs can/can't, may/may not </b>and<b> must/mustn't </b>for <b>permission </b>and<b> prohibition. </b>.	In dieser Stunde werden Sie lernen Zeichen zu erkennen und die Verwendung der <b>Modalverben can/can't,  may/may not</b> und <b>must/mustn't</b> im Zusammenhang mit <b>Erlaubnis</b> und <b>Verbot</b> üben.  			
680	The future				In this lesson you will learn the structure will/won't + infinitive for making future predictions. 	In dieser Stunde werden Sie die Konstruktion "will/won't + infintive lernen um Zukunftsvorhersagen zu treffen.			
684	Who was he?				In this lesson you will learn and practise the <b>past forms of the verb be</b>. This lesson can be used with <b>Family, What’s the weather like?</b> and <b>Countries and nationalities</b>.	In dieser Stunde werden Sie die <b>Vergangenheitsform des Verbs "be"</b> lernen und üben. Diese Stunde kann  zusammen mit den Themen <b>Family, What's the weather like?</b> und <b>Countries and nationalities</b>  verwendet werden.			
594	Elementary review 1				In this lesson you will review the verb 'be', countries and nationalities, possessive adjectives, adjectives for describing people, telling the time, present simple, family vocabulary, adverbs of frequency, describing the weather and like + -ing.	In dieser Stunde geht es um das Verb "be", Länder und Nationalitäten, besitzanzeigende Adjektive, Adjektive zur  Beschreibung von Personen, Zeitangaben, Present Simple, Familienvokabular, Adverbien der Häufigkeit,  Wetterbeschreibungen und like + -ing.			
595	Elementary review 2				In this lesson you will review the vocabulary and grammar can/can't + infinitive, social expressions, home vocabulary, coffee shop expressions and the past simple.	In dieser Stunde werden Sie Vokabeln und Grammatik wiederholen: can/can't + infinitive, gesellschaftliche  Ausdrücke, Hausvokabeln, Ausdrücke im Café und das past simple.			
