ID	TITLE EN	TITLE DE	TITLE FR	TITLE ES	DESCRIPTION EN	DESCRIPTION DE	DESCRIPTION FR	DESCRIPTION ES
	LEVEL A - ENGLISH FOR LIFE							
377	Nice to meet you	Schön dich kennenzulernen		Encantado de conocerte	This is a short warmer lesson. Learn and practise some basic expressions for meeting and greeting each other.	Dies ist eine kurze Lektion, um sich kennenzulernen. Lernen Sie erste Wendungen, zur Begrüßung und für das erste Treffen.		Esta es una lección corta para entrar en contacto con el idioma. Aprenderá y practicará algunas expresiones básicas para conocerse y saludarse.
243	Countries and nationalities	Länder und Nationalitäten		Países y nacionalidades	In this lesson you will put into practice the names of important countries, nations and nationalities. The lesson assumes a basic knowledge of the verb ‘be’.	In dieser Lektion werden sie die Bezeichnungen für wichtige Länder, Nationen und Nationalitäten anwenden. Die Lektion setzt voraus, dass sie das Verb "be" (sein) beherrschen.		En esta lección, pondrá en práctica los nombres de países, naciones y nacionalidades importantes. La lección requiere un conocimiento básico del verbo "to be".
262	Describing people	Menschen beschreiben		Describiendo personas	In this lesson you will learn basic adjectives and structures for describing people’s appearance and personality.	In dieser Lektion werden sie grundlegende Adjektive und Strukturen erlernen, um das Aussehen und den Charakter einer Person zu beschreiben. 		En esta lección, aprenderá estructuras y adjetivos básicos para describir la apariencia y la personalidad de una persona.
289	Family	Familie		La familia	In this lesson you will learn how to talk about your families using vocabulary for family members and possessives. Basic questions for requesting information about people are also reviewed in the lesson.	In dieser Lektion werden sie lernen, über ihre Familie zu reden und dabei Vokabeln für Familienmitglieder und Possessivbegleiter benutzen. Grundlegende Fragen, um Informationen über Menschen zu bekommen, werden in dieser Lektion auch wiederholt. 		En esta lección, aprenderá a hablar sobre sus familias utilizando vocabulario de los miembros de la misma y adjetivos posesivos. Se revisarán también las preguntas básicas para solicitar información sobre personas.
540	What’s the weather like?	Wie ist das Wetter?		¿Cómo está el clima?	This worksheet presents basic vocabulary for describing the weather. Talk about the weather in your country using adverbs of frequency.	Dieses Arbeitsblatt stellt grundlegende Vokabeln zum Thema Wetter vor. Sprechen sie über das Wetter in ihrem Land, indem sie Häufigkeitsadverbien anwenden. 		Esta hoja de trabajo presenta vocabulario básico para describir el clima. La misma lo ayudará a hablar sobre el clima en su país utilizando adverbios de frecuencia.
329	I can drive	Ich kann fahren		Puedo manejar	In this lesson you will learn how to talk about ability using the modal verb can/can’t.	In dieser Lektion werden sie lernen, über Fähigkeiten zu sprechen und wie man das Hilfsverb can/can't benutzt.		En esta lección, aprenderá a hablar sobre habilidades usando el verbo modal "can/can't"
194	At the coffee shop	Im Coffeeshop		En el café	In this lesson you will learn how to order coffee and snacks in a coffee shop. For the listening activity, you can play a dialogue or animated video of a coffee shop scene.	In dieser Lektion werden sie lernen, wie man Kaffee oder Kleinigkeiten in einem Coffeeshop bestellt. Bei der Aufgabe zum Hörverstehen können sie einen Dialog oder ein animiertes Video einer Szene in einem Coffeeshop abspielen.		En esta lección, aprenderá a pedir café y bocadillos en una cafetería. Para la actividad de escucha, puede reproducir un diálogo o un video animado de la escena de una cafetería.
264	Devices and the Internet	Geräte und Internet		Dispositivo e Internet	In this lesson, you will learn the names for common electronic devices as well as verbs for describing how they use their smartphones and the Internet. The worksheet covers can + infinitive, adverbs of frequency and the infinitive of purpose.	In dieser Lektion werden sie gebräuchliche Wörter lernen, um elektrische Geräte zu beschreiben sowie Verben um den Gebrauch von Smartphone und Internet zu beschreiben. Dieses Arbeitsblatt deckt den Gebrauch von can + Infinitiv, Häufigkeitsadverbien und die Finalsätze mit Infinitiv (infinitive of purpose) ab.		En esta lección, aprenderá los nombres de los dispositivos electrónicos más comunes, así como los verbos para describir cómo usar su teléfono inteligente e Internet. La hoja de trabajo cubre "can" + infinitivo, adverbios de frecuencia y el infinitivo de propósito.
244	Crazy hotels	Verrückte Hotels		Hoteles de locos	In this lesson you will learn how to create sentences with there is and there are. The worksheet is based on a text and dialogue about four unusual hotels. There is a vocabulary exercise and a speaking activity. The lesson develops reading, listening and speaking skills.	In dieser Lektion werden sie lernen wie man Sätze mit es gibt und es sind konstruiert. Das Arbeitsblatt stützt sich auf einen Text und einen Dialog über ungewöhnliche Hotels. Es gibt eine Wortschatzübung und eine Sprechaufgabe. Die Lektion entwickelt das Leseverstehen, Hörverstehen und das Sprechen. 		En esta lección, aprenderá a crear oraciones con "there is" y "there are". La hoja de trabajo se basa en un texto y un diálogo sobre cuatro hoteles inusuales. Hay un ejercicio de vocabulario y una actividad de conversación. La lección desarrolla habilidades de lectura, comprensión y expresión oral.
