ID Question|Objective|Instructions|Question|Question time|Answer|Is correct
1|Oral|Welk antwoord is juist?|Er zijn nog 7 plaatsen beschikbaar voor de trein van 4 uur naar Madrid.|60|Er zijn nog 4 plaatsen over.|0
|||||Je kan nog steeds plaatsen reserveren.|1
|||||De prijzen zijn laag voor deze trein.|0
2|Oral|Welk antwoord is juist?|Ik was zo blij toen ik had besloten om te stoppen met deze baan.|60|De spreker zou blijer zijn als hij niet stopte.|0
|||||De spreker kan niet beslissen wat hij moet doen.|0
|||||De spreker is blij dat hij stopt.|1
3|Oral|Welk antwoord is juist?|Het is dinsdag 30 december.|60|De datum is dinsdag 13 december.|0
|||||De datum is donderdag 30 december.|0
|||||De datum is dinsdag 30 december.|1
4|Oral|Het telefoonnummer is:|Mr. Sanchez wil dat je hem belt. Zijn nummer is 06 86 40 97 16.|60|06 86 14 97 16|0
|||||06 86 40 97 16|1
|||||06 86 40 97 60|0
5|Oral|Wat bedoelt deze persoon?|Ik ben te moe om plannen te maken. Laten we het even afwachten.|60|De spreker kan niet goed slapen.|0
|||||De spreker wil nog niet beslissen.|1
|||||De spreker is moe van het wachten.|0
6|Oral|Welk antwoord is juist?|Dus je verwacht dat ik de volle prijs betaal? Blijkbaar... (tegenzin)|60|De spreker moet raden wat de prijs is.|0
|||||De spreker is opgelucht dat hij de hele prijs betaalt.|0
|||||De spreker betaalt met tegenzin de prijs.|1
7|Oral|Welk antwoord is juist?|Prijzen kunnen de komende maanden gaan dalen.|60|De prijzen kunnen lager worden.|1
|||||Prijzen gaan over 1 maand dalen.|0
|||||Het is zeker dat de prijzen lager worden.|0
8|Oral|Wat bedoelt deze persoon?|Elizabeth doet totaal niet voorzichtig.|60|Ze kan niet goed zien.|0
|||||Ze neemt risico's.|1
|||||Ze neemt geen risico's omdat ze niet goed kan zien.|0
9|Oral|Wat is de juiste spelling?|De naam van het verzekeringskantoor is Hoogvliet, dat is H-O-O-G-V-L-I-E-T.|60|Hoogvlier|0
|||||Hoogfliet|0
|||||Hoogvliet|1
