ID Question DOMANDA|Objective OBIETTIVO|Instructions ISTRUZIONI|Question DOMANDA|Question time TEMPO DELLA DOMANDA|Answer RISPOSTA|Is correct é CORRETTO
1|Orale|Quale frase é vera?|Ci sono 7 posti disponibili sul treno delle 4h00 per Madrid.|60|restano 4 posti liberi sul treno|0
|||||è ancora possibile prenotare un posto|1
|||||i prezzi sono molto convenienti per questo treno|0
2|Orale|Quale frase é vera?|Non potrei essere piu felice della mia decisione di lasciare questo lavoro.|60|lui sarebbe piu felice se non si dimettesse|0
|||||lui non puo' decidere cosa fare|0
|||||lui é felice che sta per dimettersi|1
3|Orale|Quale frase é vera?|È martedi 30 dicembre.|60|la data é : martedi 13 dicembre|0
|||||la data é : mercoledi 30 dicembre|0
|||||la data é : martedi 30 dicembre|1
4|Orale|Il numero di telefono é:|Il signor rossi vorrebbe che tu lo chiamassi. il suo numero é 06 86 40 97 16.|60|06 86 14 97 16|0
|||||06 86 40 97 16|1
|||||06 86 40 97 60|0
5|Orale|Cosa significa?|Sono troppo stanco per fare dei piani per questa sera.|60|lui ha problemi di udito|0
|||||lui vuole che le cose accadano naturalmente|1
|||||lui ha problemi con le sue orecchie|0
6|Orale|Quale frase é vera?|Ti aspetti che io paghi l'importo totale? suppongo di si. (tono riluttante).|60|lui deve indovinare qual'è il prezzo totale|0
|||||lui è felice di pagare l'intero prezzo|0
|||||lui accetta con riluttanza di pagare l'intero importo|1
7|Orale|Quale frase é vera?|I prezzi potrebbero abbassarsi nei prossimi giorni.|60|c'è la possibilità di un calo dei prezzi|1
|||||i prezzi caleranno nelmese di maggio|0
|||||sicuramente i prezzi caleranno|0
8|Orale|Cosa significa?|Elisabetta sta prestando attenzione al vento.|60|c'è vento vicino elisabetta|0
|||||sta correndo un rischio|1
|||||è cauta perchè il tempo è brutto|0
9|Orale|Qual'é lo spelling corretto?|Il nome della società è wakefield incorporated. cioè w-a-k-e-f-i-e-l-d.|60|wakifeild|0
|||||uuakefield|0
|||||wakefield|1
10|Orale|Cosa significa?|Temo che l'ultima camera sia stata appena prenotata.|60|lui teme che il costo della camera aumenterà|0
|||||non ci sono piu camere disponibili in hotel|1
|||||stasera § ancora possibileprenotare una camera|0
11|Orale|Quale frase é vera?|Dall'anno scorso, i prezzi sono in costante calo.|60|i prezzi sono inferiori a quelli dell'anno scorso|1
|||||i prezzi sono gli stessi dell'anno scorso|0
|||||i prezzi sono piu alti rispetto a quelli dell'anno scorso|0
12|Orale|Cosa significa?|Il signor boldi vuole che alice gli risponda.|60|il signor boldi vuole chiamare alice|0
|||||alice dovrebbe rispondere alla chiamata del signor boldi|1
|||||il signor boldi dovrebbe rispondere alla chiamata di alice|0
13|Orale|Quale frase é vera?|Non ricordo il nome della professoressa di alessandro.|60|la professoressa non ricordapiu il nome di alessandro|0
|||||l'interlocutore non ricorda il nome della professoressa di alessandro|1
|||||alessandro non ricorda ilnome della sua professoressa|0
14|Orale|Cosa significa?|Saremmo arrivati in tuo aiuto se ci avessi informato del tuo problema.|60|non sono venuti in aiuto perchè non erano a conoscenza del problema|1
|||||erano a conoscenza del problema ma si sono rifiutati di aiutarlo|0
|||||l'hanno aiutato appena hanno scoperto il problema|0
15|Orale|Cosa significa?|Non rcordo di averlo chiamato prima.|60|lui ha dimenticato di chiamarlo|0
|||||lui non ricorda di averlo averlo chiamato prima|1
|||||lui non ricordava di averlo chiamato|0
16|Orale|Quale frase é vera?|Prima delle 7h00 di mattina, c'erano 13 impiegati che lavoravano sui 3 progetti.|60|ci sono 3 progetti|1
|||||c'erano 7 impiegati|0
|||||hanno impiegato 13 minuti per terminare il progetto|0
17|Orale|Cosa si dice su mattia?|Non sono sicuro che mattia sia fatto per questo lavoro. non é per niente simpatico.|60|non é molto amichevole|1
|||||é una brava persona|0
|||||gli piace parlare con le persone|0
18|Orale|Scegli la risposta giusta|Non sto passando una buona giornata.|60|neanche io|0
|||||anch'io|1
|||||lo sono|0
19|Orale|Cosa significa?|Maria faceva la maggior parte del lavoro.|60|maria non é abituata a lavorare sodo|0
|||||maria non fa piu la gran parte del lavoro|1
|||||maria usava spesso la scusa del troppo lavoro per non andarci|0
20|Orale|Cosa significa?|Vivo da dieci anni a parigi, percio' sono abituato alla folla.|60|lui é abituato a trovarsi in mezzo a tante persone|1
|||||lui non vve piu a parigi|0
|||||lui ha utilizzato mezzi pubblici quando viveva a parigi|0
21|Orale|Quando inizia a farsi prendere dal panico?|É in panico quando comincia ad aver fame.|60|quando é arrabbiata|0
|||||quando vuole mangiare|1
|||||quando ha sete|0
22|Orale|Cosa significa?|Giuseppe ha rinuciato ad inviare email al fornitore perche gli risponde raramente.|60|giuseppe risponde raramente al fornitore|0
|||||giuseppe ha rinuciato ad inviare email perche il fornoitore gli risponde saltuariamente|1
|||||giuseppe gli ha inviato tutte le sue vecchie email qualche giorno fa|0
23|Orale|Quale frase é vera?|Paolo é andato a lavoro con la sua nuova macchina.|60|paolo ha comprato una nuova macchina|0
|||||paolo ha preso la sua nuova macchina per andare a lavoro|1
|||||la macchina di paolo é blu|0
24|Orale|Qual'é la risposta giusta alla domanda?|Ti dispiacerebbe prestarmi la tua penna? non ce ne sono sulla mia scrivania.|60|ovviamente no.|1
|||||si grazie|0
|||||si, io voglio|0
25|Orale|Cosa dice?|Penso ci siano circa 16 persone alla festa.|60|ci sono esattamente 16 persone alla festa|0
