N° QUESTION (N° ВОПРОСА)|OBJECTIVE (ЦЕЛЬ)|INSTRUCTIONS (ИНСТРУКЦИИ)|QUESTION (ВОПРОС)|QU TIME (ВРЕМЯ ОТВЕТА)|OPT ANSWER (ВАРИАНТЫ ОТВЕТОВ)|IS CORRECT (ПРАВИЛЬНЫЙ ОТВЕТ)|POINTS (БАЛЛЫ)|
1|грамматика|Выберите правильный ответ|Моя дочь занимается  _____.|20|балет.|0|0|
|||||балета.|0|0|
|||||балетом.|1|1|
|||||о балете.|0|0|
2|грамматика|Выберите правильный ответ|Иван приехал в Москву  _____.|20|деревня.|0|0|
|||||из деревни.|1|1|
|||||в деревню.|0|0|
|||||в деревне.|0|0|
3|грамматика|Выберите правильный ответ|На этой улице нет  _____.|20|посольство.|0|0|
|||||в посольство.|0|0|
|||||в посольстве.|0|0|
|||||посольства.|1|1|
4|грамматика|Выберите правильный ответ| _____ сорок пять лет.|20|Наш директор|0|0|
|||||Нашего директора|0|0|
|||||Нашему директору|1|1|
|||||С нашим директором|0|0|
5|грамматика|Выберите правильный ответ|Жаль, что у нас тогда не было  _____.|20|эта машина.|0|0|
|||||этой машины.|1|1|
|||||эту машину.|0|0|
|||||на этой машине.|0|0|
6|грамматика|Выберите правильный ответ|Расскажи, _____ ты встретил на дискотеке?|20|кто|0|0|
|||||кого|1|1|
|||||кому|0|0|
|||||с кем|0|0|
7|грамматика|Выберите правильный ответ|Ты не знаешь _____ он говорил?|20|чего|0|0|
|||||к чему|0|0|
|||||чем|0|0|
|||||о чём|1|1|
8|грамматика|Выберите правильный ответ|Скажите, пожалуйста, _____ вы приехали в Москву?|20|что|0|0|
|||||куда|0|0|
|||||сколько|0|0|
|||||когда|1|1|
9|чтение|Выберите правильный ответ|В пятницу и субботу библиотека не работает. Вы можете взять книги в библиотеке  _____.|30|в понедельник|1|1|
|||||в среду и субботу|0|0|
|||||в пятницу|0|0|
|||||в четверг и пятницу|0|0|
10|чтение|Выберите правильный ответ|Единый билет на все виды транспорта можно получить 25-27 марта. Вы можете получить билет в _____ месяца.|30|начале|0|0|
|||||середине|0|0|
|||||конце|1|1|
|||||в первых числах|0|0|
11|чтение|Выберите правильный ответ|Всем студентам необходимо получить в деканате студенческие билеты. Все студенты должны  _____.|30|купить билеты на самолёт|0|0|
|||||взять студенческий билет|1|1|
|||||получить студенческую визу|0|0|
|||||забрать студенческую книжку|0|0|
12|чтение|Выберите правильный ответ|Мой друг отдыхает.|30|Он говорит только по-китайски.|0|0|
|||||Будьте добры, говорите медленнее.|0|0|
|||||Прошу вас, не разговаривайте так громко.|1|1|
|||||30|Возьмите зонт.|0|0|
13|чтение|Выберите правильный ответ|Здесь так холодно.||Закройте, пожалуйста, окно.|1|1|
|||||Включите, пожалуйста, свет.|0|0|
|||||Не курите, пожалуйста, здесь.|0|0|
|||||Возьмите, пожалуйста, книгу.|0|0|
14|чтение|Выберите правильный ответ|Марина и Сергей встретились и познакомились летом на берегу Чёрного моря. Марине было только 18 лет, но она уже была известным молодым поэтом. Сергей был высоким красивым юношей с грустными глазами. Когда он прочитал стихи Марины, они сразу ему понравились, он понял, что Марина очень талантливый поэт. Эта история о…..|60|встрече двух молодых людей|1|1|
|||||летнем отпуске на море|0|0|
|||||чтении стихов|0|0|
|||||шумной компании|0|0|
15|чтение|Выберите правильный ответ|Марина и Сергей встретились и познакомились летом на берегу Чёрного моря. Марине было только 18 лет, но она уже была известным молодым поэтом. Сергей был высоким красивым юношей с грустными глазами. Когда он прочитал стихи Марины, они сразу ему понравились, он понял, что Марина очень талантливый поэт. Марина была поэтом....|60|и Сергей знал и любил её стихи|1|1|
|||||а Сергею было все равно|0|0|
|||||а Сергей не знал об этом|0|0|
|||||но Сергей никогда не читал её стихов|0|0|
16|Аудирование|Во сколько будет отправление поезда?||60| 7:35|0|0|
||||| 5:00|0|0|
||||| 3:00|0|0|
||||| 7:40|1|1|
17|Аудирование|Какой был первоначальный номер выхода?||60|621|0|0|
|||||32|1|1|
|||||35|0|0|
|||||10|0|0|
18|Аудирование|На какой продукт распространяется специальное предложение?||80|Рис|0|0|
|||||Хлеб|0|0|
|||||Соус для пасты|1|1|
|||||Перец|0|0|
19|Аудирование|На какой номер автобуса необходимо сесть?||100|15|0|0|
|||||7|1|1|
|||||3|0|0|
|||||50|0|0|
20|Аудирование|На какую ветку метро необходимо сесть?||100|Синюю|0|0|
|||||Оранжевую|0|0|
|||||Желтую|1|1|
|||||Зеленую|0|0|
