N° QUESTION (N° ВОПРОСА)|OBJECTIVE (ЦЕЛЬ)|INSTRUCTIONS (ИНСТРУКЦИИ)|QUESTION (ВОПРОС)|QU TIME (ВРЕМЯ ОТВЕТА)|OPT ANSWER (ВАРИАНТЫ ОТВЕТОВ)|IS CORRECT (ПРАВИЛЬНЫЙ ОТВЕТ)|POINTS (БАЛЛЫ)|
1|грамматика|Выберите правильный ответ|Он совсем забыл обо мне. А тут вдруг взял и _____ огромный букет цветов.|20|покупал|0|0|
|||||купил|1|1|
|||||покупает|0|0|
|||||купит|0|0|
2|грамматика|Выберите правильный ответ|После тяжелого перехода туристы крепко уснули, но их _____ громкий стук в дверь.|20|будил|0|0|
|||||будил бы|0|0|
|||||разбудил бы|0|0|
|||||разбудил|1|1|
3|грамматика|Выберите правильный ответ|Не _____ бы в театр! У нас в запасе только полчаса, а такси, как нарочно, нигде не видно.|20|опаздывать|0|0|
|||||опоздать|1|1|
|||||опаздывали|0|0|
|||||опоздаем|0|0|
4|грамматика|Выберите правильный ответ|Дорогие гости, _____ , пожалуйста. Мы вас давно ждем.|20|проходите|1|1|
|||||пройдите|0|0|
|||||проходили бы|0|0|
|||||прошли бы|0|0|
5|грамматика|Выберите правильный ответ|Эти фотографии мне _____ как память о моих старых друзьях.|20|дорогие|0|0|
|||||дорогими|0|0|
|||||дорого|0|0|
|||||дороги|1|1|
6|грамматика|Выберите правильный ответ|Отвар из плодов шиповника такой _____ , что его рекомендуют пить детям.|20|полезен|0|0|
|||||полезный|1|1|
|||||полезно|0|0|
|||||полезным|0|0|
7|грамматика|Выберите правильный ответ|Мы бродили, _____ красотой ночного Петербурга.|20|очарованными|0|0|
|||||очарованные|1|1|
|||||очарованы|0|0|
|||||очаровавшими|0|0|
8|грамматика|Выберите правильный ответ|Комиссия по экологии _____ участившимися в последнее время случаями загрязнения водоёмов.|30|отразила возмущение|0|0|
|||||возмутилась|0|0|
|||||выразила возмущение|1|1|
|||||вызвала возмущение|0|0|
9|грамматика|Выберите правильный ответ|Эксплуатация все большего числа неисправных автомобилей _____ со стоянию окружающей среды и здоровью горожан.|30|служит во вред|0|0|
|||||идет во вред|0|0|
|||||наносит вред|1|1|
|||||вредоносна|0|0|
10|чтение|Выберите правильный ответ|Нам его не уговорить. Он ни как не соглашается.|40|Мы не должны его уговаривать.|0|0|
|||||Мы не сможем его уговорить.|1|1|
|||||Мы не хотим его уговаривать.|0|0|
|||||Мы его не уговариваем.|0|0|
11|чтение|Выберите правильный ответ|Тебе здесь бояться нечего. Смело проходи и садись.|40|Ты здесь ничего не боишься.|0|0|
|||||Ты здесь ничего никогда не боялся.|0|0|
|||||Здесь ты можешь ничего не бояться.|1|1|
|||||Тебе ли здесь не бояться.|0|0|
12|чтение|Выберите правильный ответ|Помощи ждать не от кого. На улицах пусто.|40|Нет никого, кто бы мог помочь.|1|1|
|||||Никому не нужно помогать.|0|0|
|||||Никто не должен помогать.|0|0|
|||||Никто не помогал нам.|0|0|
13|чтение|Выберите правильный ответ|Сергей бездельничает, а мы тут работай за него.|40|можем работать|0|0|
|||||хотим работать|0|0|
|||||поработаем|0|0|
|||||должны работать|1|1|
14|чтение|Выберите правильный ответ|Старушка сидела однажды одна в гостиной, раскладывая гранпасьянс, как Бурмин вошел в комнату и тотчас осведомился о Марье Гавриловне. «Она в саду, — отвечала старушка, — подите к ней, а я вас буду здесь ожидать». Бурмин пошел, а старушка перекрестилась и подумала: авось дело сегодня же кончится. Кого ищет Бурмин?|60|бабушку|0|0|
|||||старушку|0|0|
|||||Марью Гавриловну|1|1|
|||||пасьянс|0|0|
15|чтение|Выберите правильный ответ|Старушка сидела однажды одна в гостиной, раскладывая гранпасьянс, как Бурмин вошел в комнату и тотчас осведомился о Марье Гавриловне. «Она в саду, — отвечала старушка, — подите к ней, а я вас буду здесь ожидать». Бурмин пошел, а старушка перекрестилась и подумала: авось дело сегодня же кончится. Куда пошел Бурмин после ответа старушки?|60|в сад|1|1|
|||||в гостиную|0|0|
|||||в дом|0|0|
|||||в зал|0|0|
16|Аудирование|Как вели себя дети в эксперименте, описанном вначале?||120|Они вели себя одинаково|0|0|
|||||Они вели себя по-разному |1|1|
|||||Они проигнорировали эксперимент|0|0|
17|Аудирование|К какой научной сфере относится сказанное?||120|К психологии детей|1|1|
|||||К физике|0|0|
|||||К экономике|0|0|
18|Аудирование|Почему Пушкин приехал в Михайловское?||100|чтобы отдохнуть от большого города|0|0|
||||| так как был туда сослан|1|1|
|||||чтобы навестить родовое имение|0|0|
19|Аудирование|Как сейчас выглядит тихая деревня в Пскове, где жил Пушкин?||100|сохранилась неизменной до наших дней|0|0|
|||||сильно изменила окружающий пейзаж|0|0|
|||||стала местом паломничества туристов|1|1|
20|Аудирование|Какая атмосфера в музее Михайловское?||100|ни днем ни ночью нет покоя от туристов|1|1|
|||||вечерами наступает тишина|0|0|
|||||в зимнее время нет посетителей|0|0|

