ID Question|Objective|Instructions|Question|Question time|Answer|Is correct|
1|Gramática|Elija la opción correcta para completar la frase:|¿Por qué _____ María tan tarde anoche?|60|me llamaba|0|
|||||me llamó|1|
|||||se llamó|0|
|||||me llama |0|
2|Gramática|Elija la opción correcta para completar la frase:|Mi familia vivió en Guadalajara _____ cinco años.|60|por|0|
|||||para|0|
|||||x|1|
|||||mientras|0|
3|Gramática|Elija la opción correcta para completar la frase:|Si Manuel viviera en Madrid, le _____ más a menudo.|60|ví|0|
|||||viera|0|
|||||vería|1|
|||||veía|0|
4|Gramática|Elija la opción correcta para completar la frase:|Es mi mejor amiga. Nos _____ desde que somos pequeñas.|60|conozcamos|0|
|||||conocer|0|
|||||conocimos|0|
|||||conocemos|1|
5|Gramática|Elija la opción correcta para completar la frase:|El alumno no aprovó el examen _____ su esfuerzo.|60|aunque|0|
|||||sin embargo|0|
|||||a pesar de|1|
|||||aun |0|
6|Gramática|Elija la opción correcta para completar la frase:|¿De quién es este coche? es _____.|60|mío|1|
|||||mí |0|
|||||a mí|0|
|||||de mí|0|
7|Gramática|Elija la opción correcta para completar la frase:|¿Cuándo _____ querer quedar para comer?|60|irás|0|
|||||puedes|0|
|||||vas a|1|
|||||ir |0|
8|Gramática|Elija la opción correcta para completar la frase:|Puedes elegir entre _____ en casar o venir con nosotros.|60|quedarme|0|
|||||quedarte|1|
|||||quedarse|0|
|||||quedar|0|
9|Gramática|Elija la opción correcta para completar la frase:|Carmen ha salido para _____ una llamada.|60|coge|0|
|||||cogió|0|
|||||cogiendo|0|
|||||coger|1|
10|Gramática|Elija la opción correcta para completar la frase:|Laura _____ limpiar su cuarto hoy porque ya lo hizo ayer.|60|debe|0|
|||||debería|0|
|||||no tiene que|1|
|||||tiene que|0|
11|Gramática|Elija la opción correcta para completar la frase:|Samuel sacó mejor nota en el examen porque sus respuestas fueron mejores que _____.|60|mías|0|
|||||las mías|1|
|||||las de mí|0|
|||||las mí|0|
12|Gramática|Elija la opción correcta para completar la frase:|Cuando salí de casa, _____.|60|estaba lloviendo|1|
|||||estuvo lloviendo|0|
|||||llovió|0|
|||||está lloviendo|0|
13|Gramática|Elija la opción correcta para completar la frase:|No pudimos entrar en el concierto porque no _____ las entradas.|60|habíamos traído|1|
|||||hubimos traído|0|
|||||traímos|0|
|||||habríamos traído|0|
14|Gramática|Elija la opción correcta para completar la frase:|Ese libro es _____ mi hermano.|60|por|0|
|||||para|1|
|||||en|0|
|||||con|0|
15|Gramática|Elija la opción correcta para completar la frase:|Pablo estudia francés _____ años|60|desde|0|
|||||por|0|
|||||desde hace|1|
|||||para|0|
16|Gramática|Elija la opción correcta para completar la frase:|Marta es estudiante, así que se saca un dinero extra trabajando _____ los veranos.|60|x|1|
|||||mientras|0|
|||||por|0|
|||||en|0|
17|Gramática|Elija la opción correcta para completar la frase:|Mis padres viven muy lejos, por eso _____ los veo.|60|a menudo|0|
|||||a penas|1|
|||||poco|0|
|||||mucho|0|
18|Gramática|Elija la opción correcta para completar la frase:|Si _____ a la fiesta, no habría conocido a Jesús.|60|habría ido|0|
|||||fuera|0|
|||||no hubiera ido|1|
|||||fui|0|
19|Gramática|Elija la opción correcta para completar la frase:|¿Cuándo empieza el trimestre? Empieza _____ de enero|60|el segundo|0|
|||||dos|0|
|||||segundo|0|
|||||el dos|1|
20|Gramática|Elija la opción correcta para completar la frase:|Jaime ha solicitado trabajo en una fábrica _____ distribuye piezas de ordenadores.|60|quien|0|
|||||quién|0|
|||||que|1|
|||||qué|0|
21|Gramática|Elija la opción correcta para completar la frase:|Había rumores de despidos en el trabajo, pero por suerte todos _____ conservar el puesto.|60|poner|0|
|||||podrían|0|
|||||puedo|0|
|||||pudimos|1|
22|Gramática|Elija la opción correcta para completar la frase:|Elena quiere visitar a su familia estas vacaciones, pero no tiene _____ tiempo _____ dinero.|60|o / o|0|
|||||o / ni|0|
|||||ni / ni|1|
|||||ni / o|0|
23|Gramática|Elija la opción correcta para completar la frase:|Si llueve, no _____ a la playa.|60|fuimos|0|
|||||iremos|1|
|||||vayamos|0|
|||||ir|0|
24|Gramática|Elija la opción correcta para completar la frase:|No me interesa _____ tu versión de la historia.|60|sabiendo|0|
|||||sé|0|
|||||voy a saber|0|
|||||saber|1|
25|Gramática|Elija la opción correcta para completar la frase:|Sara estudiaba en la cocina _____ Marcos coninaba.|60|durante|0|
|||||para|0|
|||||mientras|1|
26|Gramática|Elija la opción correcta para completar la frase:|Como iba a la tienda, le _____ a mi hermano si necesitaba algo.|60|pregunto|0|
|||||pregunté|1|
|||||preguntaba|0|
|||||preguntando|0|
27|Gramática|Elija la opción correcta para completar la frase:|¿ _____ decidiste trabajar como voluntario?|60|Por qué|1|
|||||Porqué|0|
|||||Porque|0|
|||||Por que|0|
28|Gramática|Elija la opción correcta para completar la frase:|Si tú compras el regalo, yo lo _____.|60|envolveré|1|
|||||envolví|0|
|||||vamos a envolver|0|
|||||envolvía|0|
29|Gramática|Elija la opción correcta para completar la frase:| _____ pasarle algo a mi ordenador, porque no funciona bien.|60|Suele|0|
|||||No puede|0|
|||||Debe de|1|
|||||no tiene que|0|
30|Gramática|Elija la opción correcta para completar la frase:|Carlos _____ aquí, pero ya no.|60|vive|0|
|||||vivirá|0|
|||||vivía|1|
|||||va a vivir|0
