ID Question|Part|Instructions|Question|Content|Question time|Answer|Is correct|Answer type|Answer gain|
1|Part 1|Look at the picture marked number 1 and answer the question.|01_TOEIC_04_Questions_1.mp3|1.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
2|Part 1|Look at the picture marked number 2 and answer the question.|02_TOEIC_04_Questions_2.mp3|2.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
3|Part 1|Look at the picture marked number 3 and answer the question.|03_TOEIC_04_Questions_3.mp3|3.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|5|
||||||D|0|radio|0|
4|Part 1|Look at the picture marked number 4 and answer the question.|04_TOEIC_04_Questions_4.mp3|4.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
5|Part 1|Look at the picture marked number 5 and answer the question.|05_TOEIC_04_Questions_5.mp3|5.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
6|Part 1|Look at the picture marked number 6 and answer the question.|06_TOEIC_04_Questions_6.mp3|6.jpg|NA|A|0|radio|0|
||||||B|1|radio|5|
||||||C|0|radio|0|
||||||D|0|radio|0|
7|Part 1|Look at the picture marked number 7 and answer the question.|07_TOEIC_04_Questions_7.mp3|7.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
8|Part 1|Look at the picture marked number 8 and answer the question.|08_TOEIC_04_Questions_8.mp3|8.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
9|Part 1|Look at the picture marked number 9 and answer the question.|09_TOEIC_04_Questions_9.mp3|9.jpg|NA|A|1|radio|5|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|0|radio|0|
10|Part 1|Look at the picture marked number 10 and answer the question.|10_TOEIC_04_Questions_10.mp3|10.jpg|NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|0|radio|0|
||||||D|1|radio|5|
11|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_04_Questions_11-13.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
12|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_04_Questions_11-13.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
13|Part 2|Listen to the question and choose the correct answer.|11_TOEIC_04_Questions_11-13.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
14|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_04_Questions_14-16.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
15|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_04_Questions_14-16.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
16|Part 2|Listen to the question and choose the correct answer.|12_TOEIC_04_Questions_14-16.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
17|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_04_Questions_17-19.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
18|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_04_Questions_17-19.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
19|Part 2|Listen to the question and choose the correct answer.|13_TOEIC_04_Questions_17-19.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
20|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_04_Questions_20-22.mp3||NA|A|0|radio|0|
||||||B|0|radio|0|
||||||C|1|radio|6|
21|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_04_Questions_20-22.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
||||||C|0|radio|0|
22|Part 2|Listen to the question and choose the correct answer.|14_TOEIC_04_Questions_20-22.mp3||NA|A|0|radio|0|
||||||B|1|radio|6|
||||||C|0|radio|0|
23|Part 2|Listen to the question and choose the correct answer.|15_TOEIC_04_Questions_23-25.mp3||NA|A|1|radio|6|
||||||B|0|radio|0|
