Account|A record of the money that a customer has at the bank.|Banking|
Account number|An unique number that is used to identify a bank account.|Banking|Noun
Advisor|A staff member who helps customers.|Banking|Noun
ATM|Automated teller machine/Cash machine – A device that gives money and can be used to do other account transactions.|Banking|Noun
ATM card|A small plastic card that an ATM uses to identify a costumer and their account. Same as a bank card.|Banking|Noun
Balance|The amount of money in an account: could be positive or negative.|Banking|Noun
Bank card|A small plastic card that an ATM uses to identify a costumer and their account. Same as an ATM card.|Banking|Noun
Bank charges|Money to be paid to the bank to use certain services or as a fine if a mistake is made.|Banking|Noun
Bank manager|The person who is in charge of a branch of the bank.|Banking|Noun
Bank services|The products that a bank offers.|Banking|Noun
Bank statement|Either a paper or electronic summary of the money paid into or out of an account that month.|Banking|Noun
Borrow|To get money from a bank now that a person does not own and so has to pay back to the bank at a later time.|Banking|Verb
Branch|The bank or the building where customers use the bank services.|Banking|Noun
Cash|Money in the form of notes or coins.|Banking|Noun
Cheque (UK)/Check (US)|A written order telling the bank to pay or transfer money to someone.|Banking|Noun
Close an account|To empty an account of money and tell the bank it is no longer going to be used. (verb phrase)|Banking|Verb Phrase
Counter|The area in a bank where the tellers work. |Banking|Noun
Credit card|A small plastic card that can be used to buy items. The balance has to be paid once at the end of the month. |Banking|Noun
Credited|To add money to a bank account.|Banking|Adjective
Current account|A bank account that is designed for everyday use.|Banking|Noun
Debit card|A small plastic card that can be used to pay for items without giving the seller cash directly. The money is taken from the account immediately.|Banking|Noun
Deposit|To give the bank money to be added to the customer’s account.|Banking|Verb
Guard|Someone who works at a bank to prevent thieves from steeling the money.|Banking|Noun
Head office|The place where the bank is run from and where information is stored centrally.|Banking|Noun
Identification|An item that proves your identity, such as a passport or driver’s license.|Banking|Noun
Interest|1) The money that needs to be paid each month for borrowing money from the bank, usually a percentage of the total. 2) The money the bank pays its customers for depositing money with them, usually a percentage of the total.|Banking|Noun
Loan|Borrowed money that is received now but needs to be paid back, often monthly, with interest added.|Banking|Noun
Main branch|The biggest branch of a bank in a city that offers the most services.|Banking|Noun
Open an account|To start an account at a bank for the first time. (verb phrase)|Banking|Verb Phrase
Overdraft|An amount of money that can be used each month that the customer does not own.|Banking|Noun
Overdrawn|To have used more money than there is in the account so that money is owed to the bank.|Banking|Adjective
Passbook|A book containing a record of all the account transactions.|Banking|Noun
Payee|Someone who is paid money.|Banking|Noun
Paying-in slip|A piece of paper to fill-in when depositing money into an account.|Banking|Noun
PIN number|A four digit number used to access ATM machines.|Banking|Noun
Savings account|An account used to save money. It often has a higher rate of interest and penalties for withdrawing money.|Banking|Noun
Standing order|An instruction to the bank to pay the same person or company the same amount of money on a regular schedule, often monthly.|Banking|Noun
Teller|A person who works at the bank counter and accepts and gives out money to the bank’s customers.|Banking|Noun
Transaction|Any situation where money is deposited or withdrawn from an account.|Banking|Noun
Withdrawal|To take money out of an account.|Banking|Noun
Accident and emergency|A department in a hospital to treat urgent cases. (British English)|Doctor|Noun
Ache|A pain that is often at a low level but constant, often in a joint.|Doctor|Noun
Allergy|A reaction to something that causes a rash or other symptoms, e.g. peanut allergy.|Doctor|Noun
Antibiotics|A type of medicine that is used to treat infections by bacteria.|Doctor|Noun
Appointment|The specific time and place of a meeting between people, e.g. with a doctor.|Doctor|Noun
Bacteria|Very small organisms that can cause illnesses.|Doctor|Noun
Bed rest|To stay in bed until better.|Doctor|Noun
Better|To have stopped being ill, to have recovered.|Doctor|Adjective
Casualty|A department in a hospital to treat urgent cases. (British English)|Doctor|Noun
Chemist|A place, or shop, where medicines are kept, prepared and sold. (British English)|Doctor|Noun
Cold|An illness of the nose and throat that is caused by a virus.|Doctor|Noun
Consulting room|The room where a doctor meets with patients in private.|Doctor|Noun
Cough|To empty the lungs of air quickly and often noisily.|Doctor|Verb
Cure|To make a person better when they have an illness.|Doctor|Verb
Cut|Damage to the skin, often not deep or serious.|Doctor|Noun
Dehydrated|To not have enough water in the body.|Doctor|Adjective
Diagnosis|To look at the patient’s symptoms and decide what is wrong with them.|Doctor|Noun
Disease|Something that causes a person’s health to be bad.|Doctor|Noun
Doctor|A person trained to treat ill people.|Doctor|Noun
Emergency room (ER)|A department in a hospital to treat urgent cases. (American English)|Doctor|Noun
